Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.66,08/03/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.7,11/03/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.8,18/03/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.72,30/04/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.66,02/05/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.58,06/05/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,13/05/2024
Citadel Advisors II LLC,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,29/09/2016
Citadel Advisors II LLC,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,09/12/2016
Citadel Advisors II LLC,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.54,07/04/2017
Citadel Advisors II LLC,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.42,25/04/2017
Citadel Advisors II LLC,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,21/05/2018
Citadel Advisors II LLC,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.33,30/05/2018
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,07/07/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.39,12/07/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,01/08/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.48,16/08/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.59,22/08/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.63,25/09/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.58,02/10/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,09/10/2017
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,21/10/2019
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.6,11/11/2019
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.72,10/01/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.85,22/01/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.94,23/01/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.86,30/01/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.78,31/01/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.68,13/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.7,17/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.69,19/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.71,20/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.69,21/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.73,24/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.83,26/02/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.9,04/03/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.02,06/03/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.95,09/03/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.82,10/03/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.76,24/03/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.68,27/03/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.58,09/04/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.48,15/04/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,13/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.48,14/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,23/01/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.48,01/02/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,05/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.6,07/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.58,14/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.63,15/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.59,26/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.69,02/04/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.7,12/04/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.67,24/04/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.58,02/05/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.47,08/05/2024
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.54,08/08/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.63,12/08/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.71,14/08/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.8,29/08/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.79,17/09/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.8,18/09/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.92,24/09/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.0,25/09/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.12,21/10/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.21,24/10/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.3,20/11/2019
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.4,09/01/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.39,13/01/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.23,06/02/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.19,13/02/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.25,20/02/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.35,24/02/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.28,05/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.14,06/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.02,09/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.9,10/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.88,11/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.01,12/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.99,24/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.83,27/03/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.79,01/04/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.67,05/05/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.54,06/05/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,11/05/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.54,19/05/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.47,28/05/2020
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,01/06/2020
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,06/07/2020
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,09/07/2020
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.48,15/07/2020
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.55,15/01/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.6,02/02/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.76,02/03/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.82,09/05/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.9,11/05/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.02,23/05/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.17,28/05/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.38,29/05/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.42,30/05/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.54,01/06/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.6,04/06/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.7,02/07/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.8,03/07/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.9,16/07/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.12,26/07/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.2,01/08/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.3,02/08/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.42,13/08/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.5,17/08/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.63,03/09/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.73,05/09/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.55,17/09/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.49,18/09/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.53,26/09/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.45,28/09/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.53,03/10/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.62,05/10/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.72,15/10/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.84,26/10/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.94,29/10/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.04,05/11/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.11,08/11/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.21,21/11/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.33,04/12/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.42,20/12/2018
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.65,02/01/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.74,24/01/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.82,25/01/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.79,20/02/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.67,25/02/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.58,27/02/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.33,28/02/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.78,01/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.65,04/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.52,06/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.48,14/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.35,18/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.2,22/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.19,25/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.08,26/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.9,28/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.89,29/03/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.75,03/04/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.67,04/04/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.53,05/04/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.46,09/04/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.39,26/04/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.29,29/04/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.33,09/05/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.44,21/05/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.54,27/05/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.61,31/05/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.53,11/06/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.47,13/06/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.32,20/06/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.27,24/06/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.09,01/07/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.99,02/07/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.85,15/07/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.78,25/07/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.81,02/08/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.93,09/08/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.89,28/08/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.79,04/09/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.81,10/09/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.76,20/09/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.69,18/10/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.54,30/10/2019
Engadine Partners LLP,213800TIFVQNMLHI1C63,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.4,07/11/2019
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,17/11/2016
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,18/11/2016
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,23/11/2016
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.47,25/11/2016
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,05/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,06/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,07/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,11/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,13/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,15/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,27/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,29/06/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,02/07/2018
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,18/07/2018
INSIGHT INVESTMENT MANAGEMENT (GLOBAL) LIMITED,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.51,21/05/2019
INSIGHT INVESTMENT MANAGEMENT (GLOBAL) LIMITED,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.6,14/06/2019
INSIGHT INVESTMENT MANAGEMENT (GLOBAL) LIMITED,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.52,24/06/2019
INSIGHT INVESTMENT MANAGEMENT (GLOBAL) LIMITED,,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.47,15/07/2019
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.54,21/11/2016
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.64,28/11/2016
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.72,30/11/2016
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.68,21/02/2017
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.7,03/03/2017
